,artist_name,song_title,identifier,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,cluster_k30
2951,Jowell & Randy,Ya No Te Quiero,not_hot,0.581,0.681,-4.469,0.0435,0.0472,0.0,0.634,176.034,10
2952,Bleachers,Dream Of Mickey Mantle,not_hot,0.544,0.607,-6.51,0.0489,0.00432,0.0,0.177,135.029,23
2953,Seven Lions,The Sirens,not_hot,0.63,0.695,-7.666,0.318,0.0847,1.15e-06,0.163,102.647,6
2954,Erik Satie,3 Gymnopedies: No. 2. Lent et triste,not_hot,0.556,0.902,-6.087,0.0333,0.215,0.357,0.849,152.25,10
2955,SOJA,Tried My Best,not_hot,0.676,0.797,-6.93,0.0409,0.00551,0.0132,0.672,133.01,1
2956,Nipsey Hussle,Right Hand 2 God,not_hot,0.322,0.958,-3.403,0.0831,2.12e-05,0.00122,0.282,129.983,11
2957,Ta-ku,Sunrise / Beautiful,not_hot,0.836,0.678,-8.206,0.099,0.0126,0.00205,0.633,116.02,22
2958,B0nds,green eyed lady,not_hot,0.355,0.453,-7.113,0.0293,0.304,0.0,0.272,146.101,23
2959,Paul Wall,"Swangin In the Rain (feat. Slim Thug, J-Dawg, Lil Keke, Z-Ro & Chamillionaire) - Remix",not_hot,0.413,0.933,-5.208,0.0581,0.0013,0.0153,0.267,76.999,4
2960,Jason Aldean,Even If I Wanted To,not_hot,0.558,0.929,-3.618,0.0638,0.00094,0.000248,0.502,137.868,11
2961,Chris Cagle,Anywhere But Here,not_hot,0.431,0.889,-1.763,0.0336,0.00633,0.0052,0.755,136.362,1
2962,Josh Thompson,Down For A Get Down,not_hot,0.55,0.864,-5.116,0.106,0.224,5.56e-05,0.551,188.153,10
2963,Jennifer Lopez,No Me Ames (with Marc Anthony) - Tropical Remix,not_hot,0.273,0.916,-4.71,0.248,0.00367,1.52e-05,0.119,112.498,4
2964,Little Dragon,My Step,not_hot,0.49,0.346,-13.929,0.0778,0.854,0.553,0.166,149.909,17
2965,Descendents,Hope,not_hot,0.533,0.768,-7.223,0.0542,0.163,0.0,0.396,140.005,11
2966,John Williams,The Ways of the Force,not_hot,0.861,0.346,-12.033,0.0702,0.0161,0.127,0.579,115.264,7
2967,Casting Crowns,Awaken Me,not_hot,0.715,0.632,-7.093,0.0348,0.438,0.0859,0.586,122.036,21
2968,Avenged Sevenfold,Trashed And Scattered,not_hot,0.871,0.593,-4.57,0.246,0.0424,0.0,0.717,111.965,6
2969,A Boogie Wit da Hoodie,1hunnit,not_hot,0.487,0.128,-14.654,0.0368,0.487,2.74e-06,0.306,132.2,24
2970,Dan Siegel,This Time Around,not_hot,0.285,0.977,-3.69,0.109,0.0128,1.18e-06,0.599,172.213,15
2971,Run The Jewels,Early,not_hot,0.635,0.454,-9.457,0.0393,0.417,4.02e-05,0.531,79.097,29
2972,Phil Wickham,"At Your Name (Yahweh, Yahweh)",not_hot,0.576,0.875,-4.849,0.257,0.00063,0.0602,0.12,128.026,11
2973,Megan Thee Stallion,Tina Montana,not_hot,0.553,0.883,-7.302,0.0618,0.00732,0.0488,0.463,136.711,11
2974,Gallant,Cave Me In,not_hot,0.655,0.51,-8.881,0.0608,0.689,0.0,0.425,129.771,12
2975,Hans Zimmer,Rise,not_hot,0.505,0.882,-6.051,0.0405,0.0123,0.464,0.37,112.96,14
2976,Born Ruffians,Forget Me,not_hot,0.375,0.83,-5.817,0.0341,0.212,0.00057,0.726,96.88,20
2977,Natiruts,Supernova - Ao Vivo,not_hot,0.508,0.951,-4.372,0.0816,0.000191,0.0221,0.133,96.022,4
2978,Hippo Campus,Honestly,not_hot,0.644,0.793,-4.581,0.039,0.0353,0.0,0.632,142.019,1
2979,Thomas Rhett,Something To Do With My Hands,not_hot,0.468,0.749,-3.822,0.0344,0.149,1.22e-05,0.474,152.01,10
2980,Shinedown,Heroes,not_hot,0.682,0.682,-5.754,0.0474,0.342,0.00646,0.473,144.04,21
2981,Big Brother & The Holding Company,Ball and Chain,not_hot,0.559,0.186,-14.89,0.0444,0.959,0.0,0.189,105.526,24
2982,Adrianne Lenker,cradle,not_hot,0.484,0.78,-3.275,0.0312,0.0533,1.27e-06,0.311,140.758,11
2983,Frightened Rabbit,I Wish I Was Sober,not_hot,0.524,0.109,-13.167,0.0546,0.964,5.63e-06,0.222,111.985,24
2984,Katy Perry,International Smile,not_hot,0.482,0.637,-5.857,0.0295,0.177,0.0,0.411,138.184,23
2985,SOB X RBE,"Intro (Gangin) (feat. DaBoii, Slimmy B, Yhung T.O. & Lul G)",not_hot,0.407,0.435,-7.986,0.0272,0.73,0.0,0.352,139.771,25
2986,Big & Rich,Run Away with You,not_hot,0.693,0.371,-7.539,0.033,0.903,0.000111,0.281,131.062,12
2987,Kid Cudi,Flight At First Sight/Advanced,not_hot,0.266,0.283,-10.696,0.0415,0.576,0.0,0.426,75.637,13
2988,Phil Wickham,Safe,not_hot,0.127,0.273,-15.785,0.0351,0.925,0.985,0.151,65.177,5
2989,Pusha T,M.P.A.,not_hot,0.795,0.932,-5.11,0.061,0.0282,1.73e-05,0.86,122.991,1
2990,Mat Kerekes,My Lucky #3,not_hot,0.73,0.646,-8.2,0.0375,0.568,0.832,0.823,83.025,2
2991,Breaking Benjamin,Unknown Soldier,not_hot,0.51,0.688,-4.673,0.0316,0.0151,0.00122,0.57,76.967,20
2992,Vacation Manor,Fading,not_hot,0.822,0.847,-6.729,0.0917,0.0854,0.0,0.668,107.908,22
2993,Tee Grizzley,Country,not_hot,0.409,0.774,-7.273,0.0369,0.215,0.104,0.282,94.93,4
2994,Rolando Laserie,Hola Soledad,not_hot,0.542,0.694,-6.405,0.0456,0.47,0.0,0.43,175.514,10
2995,Jerry Garcia,When The Hunter Gets Captured By The Game,not_hot,0.527,0.763,-5.303,0.0325,0.0004,4.52e-06,0.26,113.406,11
2996,Kenny Chesney,You And Tequila (With Grace Potter) (Live At Red Rocks Amphitheatre),not_hot,0.485,0.509,-11.191,0.0618,0.348,0.0,0.588,82.633,29
2997,Fat Freddy's Drop,Cay's Crays,not_hot,0.616,0.368,-8.595,0.0465,0.911,0.0,0.146,147.904,12
2998,Cultura Profética,Canto en la Prisión,not_hot,0.511,0.95,-3.833,0.184,0.0612,0.0,0.539,151.943,10
2999,No Doubt,Ex-Girlfriend,not_hot,0.475,0.823,-11.994,0.029,0.00333,0.00839,0.881,138.981,1
3000,Little Big Town,Beat Up Bible,not_hot,0.838,0.912,-5.523,0.063,0.0493,0.0,0.73,105.959,22
3001,Philip Glass,The Hours,not_hot,0.538,0.586,-7.757,0.0291,0.0187,2.74e-05,0.37,149.983,23
3002,Washed Out,Amor Fati,not_hot,0.52,0.195,-11.05,0.0513,0.919,0.0132,0.193,79.945,24
3003,Tank,Nothing On,not_hot,0.843,0.37,-11.032,0.0546,0.0309,0.029,0.138,102.007,28
3004,Foxing,Nearer My God,not_hot,0.662,0.865,-6.555,0.0298,0.258,0.106,0.767,110.045,1
3005,AWOLNATION,I Am,not_hot,0.617,0.421,-14.231,0.0318,0.541,0.00227,0.39,131.653,12
3006,Los Pericos,Home Sweet Home,not_hot,0.49,0.755,-4.496,0.0394,0.113,0.000176,0.358,132.01,11
3007,Circa Survive,The Difference Between Medicine And Poison Is In The Dose,not_hot,0.512,0.883,-3.137,0.0453,0.0327,2.46e-06,0.527,155.97,10
3008,Pinegrove,Angelina,not_hot,0.693,0.628,-13.65,0.0341,0.27,0.0619,0.882,91.889,9
3009,Soda Stereo,No Existes - Remasterizado 2007,not_hot,0.514,0.549,-5.928,0.0529,0.687,0.0,0.533,90.117,29
3010,George Lewis,Down By The Riverside,not_hot,0.621,0.463,-10.259,0.243,0.395,4.71e-06,0.491,70.722,26
3011,Beyoncé,Radio,not_hot,0.521,0.443,-8.188,0.0395,0.308,0.0,0.596,76.228,7
3012,The Knife,Heartbeats,not_hot,0.523,0.459,-10.745,0.0269,0.499,0.0,0.564,141.99,12
3013,Badflower,We’re In Love,not_hot,0.462,0.768,-6.11,0.0459,0.00141,0.00508,0.196,124.877,11
